1045.txt.ptree,0,6,0..6,larger
1045.txt.ptree,0,8,7..11,drug
1045.txt.ptree,0,10,12..15,and
1045.txt.ptree,0,13,16..23,biotech
1045.txt.ptree,0,15,24..33,companies
1045.txt.ptree,0,18,34..37,are
1045.txt.ptree,0,21,38..42,also
1045.txt.ptree,0,25,43..55,increasingly
1045.txt.ptree,0,27,56..64,reaching
1045.txt.ptree,0,30,65..68,out
1045.txt.ptree,0,34,69..71,to
1045.txt.ptree,0,37,72..76,cros
1045.txt.ptree,0,40,77..80,for
1045.txt.ptree,0,43,81..85,help
1045.txt.ptree,0,46,86..90,with
1045.txt.ptree,0,49,91..95,drug
1045.txt.ptree,0,51,96..105,discovery
1045.txt.ptree,0,53,105..106,.
1045.txt.ptree,1,5,107..119,consequently
1045.txt.ptree,1,8,120..124,some
1045.txt.ptree,1,10,125..129,cros
1045.txt.ptree,1,13,130..133,are
1045.txt.ptree,1,16,134..141,beefing
1045.txt.ptree,1,19,142..144,up
1045.txt.ptree,1,22,145..150,their
1045.txt.ptree,1,24,151..157,staffs
1045.txt.ptree,1,26,157..158,.
