894.txt.ptree,0,5,0..1,i
894.txt.ptree,0,8,2..7,think
894.txt.ptree,0,13,8..10,we
894.txt.ptree,0,16,11..15,have
894.txt.ptree,0,19,16..20,both
894.txt.ptree,0,22,21..25,read
894.txt.ptree,0,25,26..29,the
894.txt.ptree,0,27,30..34,book
894.txt.ptree,0,30,35..37,by
894.txt.ptree,0,33,38..41,now
894.txt.ptree,0,35,41..42,.
894.txt.ptree,1,5,43..51,although
894.txt.ptree,1,9,52..53,i
894.txt.ptree,1,12,54..59,still
894.txt.ptree,1,15,60..66,havent
894.txt.ptree,1,18,67..71,read
894.txt.ptree,1,21,72..75,her
894.txt.ptree,1,23,76..81,other
894.txt.ptree,1,25,82..85,one
894.txt.ptree,1,27,85..86,.
