1373.txt.ptree,0,5,0..3,for
1373.txt.ptree,0,8,4..12,instance
1373.txt.ptree,0,10,12..13,COMMA
1373.txt.ptree,0,14,14..21,several
1373.txt.ptree,0,16,22..31,sequences
1373.txt.ptree,0,20,32..36,that
1373.txt.ptree,0,24,37..40,are
1373.txt.ptree,0,27,41..51,undeniably
1373.txt.ptree,0,29,52..57,scary
1373.txt.ptree,0,32,58..60,in
1373.txt.ptree,0,35,61..64,the
1373.txt.ptree,0,37,65..74,conjuring
1373.txt.ptree,0,40,75..82,becomes
1373.txt.ptree,0,44,83..87,even
1373.txt.ptree,0,46,88..92,more
1373.txt.ptree,0,48,93..100,intense
1373.txt.ptree,0,52,101..105,when
1373.txt.ptree,0,56,106..112,robbed
1373.txt.ptree,0,59,113..115,of
1373.txt.ptree,0,62,116..121,their
1373.txt.ptree,0,64,122..127,color
1373.txt.ptree,0,66,127..128,.
1373.txt.ptree,1,6,129..141,particularly
1373.txt.ptree,1,8,142..151,thebehind
1373.txt.ptree,1,10,152..155,the
1373.txt.ptree,1,12,156..168,doorsequence
1373.txt.ptree,1,15,169..171,is
1373.txt.ptree,1,20,172..176,much
1373.txt.ptree,1,22,177..181,more
1373.txt.ptree,1,24,182..189,intense
1373.txt.ptree,1,26,190..193,and
1373.txt.ptree,1,28,194..200,creepy
1373.txt.ptree,1,31,201..208,without
1373.txt.ptree,1,34,209..212,the
1373.txt.ptree,1,36,213..219,bluish
1373.txt.ptree,1,38,220..223,hue
1373.txt.ptree,1,41,224..226,to
1373.txt.ptree,1,45,227..230,the
1373.txt.ptree,1,47,231..239,darkness
1373.txt.ptree,1,49,239..240,COMMA
1373.txt.ptree,1,52,241..249,allowing
1373.txt.ptree,1,55,250..253,the
1373.txt.ptree,1,57,254..262,audience
1373.txt.ptree,1,61,263..265,to
1373.txt.ptree,1,64,266..271,focus
1373.txt.ptree,1,67,272..276,more
1373.txt.ptree,1,70,277..279,on
1373.txt.ptree,1,74,280..283,the
1373.txt.ptree,1,76,284..295,performance
1373.txt.ptree,1,79,296..298,of
1373.txt.ptree,1,82,299..303,joey
1373.txt.ptree,1,84,304..308,king
1373.txt.ptree,1,86,308..309,.
